problem_type,n,type_instance,M,fitness
QUBO,64,0,1,-202.0
QUBO,64,0,1,-178.0
QUBO,64,0,1,-220.0
QUBO,64,0,1,-180.0
QUBO,64,0,1,-178.0
QUBO,64,0,1,-180.0
QUBO,64,0,1,-192.0
QUBO,64,0,1,-200.0
QUBO,64,0,1,-188.0
QUBO,64,0,1,-204.0
QUBO,64,0,1,-207.0
QUBO,64,0,1,-209.0
QUBO,64,0,1,-197.0
QUBO,64,0,1,-209.0
QUBO,64,0,1,-209.0
QUBO,64,0,1,-199.0
QUBO,64,0,1,-179.0
QUBO,64,0,1,-183.0
QUBO,64,0,1,-197.0
QUBO,64,0,1,-201.0
QUBO,64,0,1,-195.0
QUBO,64,0,1,-199.0
QUBO,64,0,1,-199.0
QUBO,64,0,1,-189.0
QUBO,64,0,1,-189.0
QUBO,64,0,1,-187.0
QUBO,64,0,1,-173.0
QUBO,64,0,1,-187.0
QUBO,64,0,1,-169.0
QUBO,64,0,1,-195.0
QUBO,64,0,1,-197.0
QUBO,64,0,1,-197.0
QUBO,64,0,1,-197.0
QUBO,64,0,1,-177.0
QUBO,64,0,1,-201.0
QUBO,64,0,1,-195.0
QUBO,64,0,1,-203.0
QUBO,64,0,1,-207.0
QUBO,64,0,1,-183.0
QUBO,64,0,1,-201.0
QUBO,64,0,1,-190.0
QUBO,64,0,1,-192.0
QUBO,64,0,1,-184.0
QUBO,64,0,1,-204.0
QUBO,64,0,1,-206.0
QUBO,64,0,1,-198.0
QUBO,64,0,1,-204.0
QUBO,64,0,1,-206.0
QUBO,64,0,1,-188.0
QUBO,64,0,1,-188.0
QUBO,64,0,1,-168.0
QUBO,64,0,1,-194.0
QUBO,64,0,1,-176.0
QUBO,64,0,1,-224.0
QUBO,64,0,1,-220.0
QUBO,64,0,1,-216.0
QUBO,64,0,1,-180.0
QUBO,64,0,1,-184.0
QUBO,64,0,1,-224.0
QUBO,64,0,1,-218.0
QUBO,64,0,1,-170.0
QUBO,64,0,1,-174.0
QUBO,64,0,1,-172.0
QUBO,64,0,1,-184.0
QUBO,64,0,1,-188.0
QUBO,64,0,1,-172.0
QUBO,64,0,1,-170.0
QUBO,64,0,1,-162.0
QUBO,64,0,1,-174.0
QUBO,64,0,1,-156.0
QUBO,64,0,1,-197.0
QUBO,64,0,1,-185.0
QUBO,64,0,1,-183.0
QUBO,64,0,1,-167.0
QUBO,64,0,1,-193.0
QUBO,64,0,1,-167.0
QUBO,64,0,1,-181.0
QUBO,64,0,1,-185.0
QUBO,64,0,1,-167.0
QUBO,64,0,1,-181.0
QUBO,64,0,1,-199.0
QUBO,64,0,1,-205.0
QUBO,64,0,1,-205.0
QUBO,64,0,1,-181.0
QUBO,64,0,1,-185.0
QUBO,64,0,1,-169.0
QUBO,64,0,1,-213.0
QUBO,64,0,1,-221.0
QUBO,64,0,1,-197.0
QUBO,64,0,1,-211.0
QUBO,64,0,1,-189.0
QUBO,64,0,1,-191.0
QUBO,64,0,1,-193.0
QUBO,64,0,1,-193.0
QUBO,64,0,1,-203.0
QUBO,64,0,1,-177.0
QUBO,64,0,1,-205.0
QUBO,64,0,1,-189.0
QUBO,64,0,1,-179.0
QUBO,64,0,1,-191.0
QUBO,64,0,2,-224.0
QUBO,64,0,2,-186.0
QUBO,64,0,2,-182.0
QUBO,64,0,2,-192.0
QUBO,64,0,2,-186.0
QUBO,64,0,2,-222.0
QUBO,64,0,2,-224.0
QUBO,64,0,2,-210.0
QUBO,64,0,2,-218.0
QUBO,64,0,2,-212.0
QUBO,64,0,2,-201.0
QUBO,64,0,2,-207.0
QUBO,64,0,2,-185.0
QUBO,64,0,2,-177.0
QUBO,64,0,2,-201.0
QUBO,64,0,2,-205.0
QUBO,64,0,2,-219.0
QUBO,64,0,2,-181.0
QUBO,64,0,2,-193.0
QUBO,64,0,2,-207.0
QUBO,64,0,2,-183.0
QUBO,64,0,2,-193.0
QUBO,64,0,2,-191.0
QUBO,64,0,2,-197.0
QUBO,64,0,2,-195.0
QUBO,64,0,2,-195.0
QUBO,64,0,2,-199.0
QUBO,64,0,2,-201.0
QUBO,64,0,2,-195.0
QUBO,64,0,2,-171.0
QUBO,64,0,2,-199.0
QUBO,64,0,2,-211.0
QUBO,64,0,2,-209.0
QUBO,64,0,2,-201.0
QUBO,64,0,2,-197.0
QUBO,64,0,2,-195.0
QUBO,64,0,2,-203.0
QUBO,64,0,2,-203.0
QUBO,64,0,2,-205.0
QUBO,64,0,2,-209.0
QUBO,64,0,2,-196.0
QUBO,64,0,2,-200.0
QUBO,64,0,2,-198.0
QUBO,64,0,2,-196.0
QUBO,64,0,2,-192.0
QUBO,64,0,2,-184.0
QUBO,64,0,2,-202.0
QUBO,64,0,2,-200.0
QUBO,64,0,2,-196.0
QUBO,64,0,2,-190.0
QUBO,64,0,2,-224.0
QUBO,64,0,2,-214.0
QUBO,64,0,2,-200.0
QUBO,64,0,2,-182.0
QUBO,64,0,2,-218.0
QUBO,64,0,2,-198.0
QUBO,64,0,2,-222.0
QUBO,64,0,2,-220.0
QUBO,64,0,2,-218.0
QUBO,64,0,2,-198.0
QUBO,64,0,2,-180.0
QUBO,64,0,2,-188.0
QUBO,64,0,2,-200.0
QUBO,64,0,2,-172.0
QUBO,64,0,2,-182.0
QUBO,64,0,2,-196.0
QUBO,64,0,2,-174.0
QUBO,64,0,2,-176.0
QUBO,64,0,2,-194.0
QUBO,64,0,2,-180.0
QUBO,64,0,2,-181.0
QUBO,64,0,2,-201.0
QUBO,64,0,2,-183.0
QUBO,64,0,2,-181.0
QUBO,64,0,2,-207.0
QUBO,64,0,2,-185.0
QUBO,64,0,2,-189.0
QUBO,64,0,2,-183.0
QUBO,64,0,2,-189.0
QUBO,64,0,2,-163.0
QUBO,64,0,2,-213.0
QUBO,64,0,2,-191.0
QUBO,64,0,2,-221.0
QUBO,64,0,2,-221.0
QUBO,64,0,2,-189.0
QUBO,64,0,2,-219.0
QUBO,64,0,2,-175.0
QUBO,64,0,2,-189.0
QUBO,64,0,2,-171.0
QUBO,64,0,2,-191.0
QUBO,64,0,2,-203.0
QUBO,64,0,2,-177.0
QUBO,64,0,2,-205.0
QUBO,64,0,2,-199.0
QUBO,64,0,2,-205.0
QUBO,64,0,2,-191.0
QUBO,64,0,2,-185.0
QUBO,64,0,2,-191.0
QUBO,64,0,2,-207.0
QUBO,64,0,2,-197.0
QUBO,64,0,4,-190.0
QUBO,64,0,4,-202.0
QUBO,64,0,4,-200.0
QUBO,64,0,4,-208.0
QUBO,64,0,4,-224.0
QUBO,64,0,4,-208.0
QUBO,64,0,4,-196.0
QUBO,64,0,4,-208.0
QUBO,64,0,4,-224.0
QUBO,64,0,4,-218.0
QUBO,64,0,4,-211.0
QUBO,64,0,4,-211.0
QUBO,64,0,4,-185.0
