problem_type,n,type_instance,M,fitness
QUBO,64,0,1,-174.0
QUBO,64,0,1,-216.0
QUBO,64,0,1,-208.0
QUBO,64,0,1,-202.0
QUBO,64,0,1,-208.0
QUBO,64,0,1,-184.0
QUBO,64,0,1,-196.0
QUBO,64,0,1,-184.0
QUBO,64,0,1,-184.0
QUBO,64,0,1,-206.0
QUBO,64,0,1,-215.0
QUBO,64,0,1,-205.0
QUBO,64,0,1,-213.0
QUBO,64,0,1,-211.0
QUBO,64,0,1,-199.0
QUBO,64,0,1,-183.0
QUBO,64,0,1,-203.0
QUBO,64,0,1,-213.0
QUBO,64,0,1,-207.0
QUBO,64,0,1,-197.0
QUBO,64,0,1,-179.0
QUBO,64,0,1,-191.0
QUBO,64,0,1,-207.0
QUBO,64,0,1,-195.0
QUBO,64,0,1,-183.0
QUBO,64,0,1,-181.0
QUBO,64,0,1,-175.0
QUBO,64,0,1,-201.0
QUBO,64,0,1,-201.0
QUBO,64,0,1,-195.0
QUBO,64,0,1,-195.0
QUBO,64,0,1,-197.0
QUBO,64,0,1,-195.0
QUBO,64,0,1,-205.0
QUBO,64,0,1,-193.0
QUBO,64,0,1,-179.0
QUBO,64,0,1,-201.0
QUBO,64,0,1,-209.0
QUBO,64,0,1,-201.0
QUBO,64,0,1,-193.0
QUBO,64,0,1,-188.0
QUBO,64,0,1,-204.0
QUBO,64,0,1,-198.0
QUBO,64,0,1,-198.0
QUBO,64,0,1,-174.0
QUBO,64,0,1,-196.0
QUBO,64,0,1,-170.0
QUBO,64,0,1,-200.0
QUBO,64,0,1,-190.0
QUBO,64,0,1,-168.0
QUBO,64,0,1,-222.0
QUBO,64,0,1,-168.0
QUBO,64,0,1,-222.0
QUBO,64,0,1,-162.0
QUBO,64,0,1,-196.0
QUBO,64,0,1,-224.0
QUBO,64,0,1,-216.0
QUBO,64,0,1,-214.0
QUBO,64,0,1,-192.0
QUBO,64,0,1,-216.0
QUBO,64,0,1,-184.0
QUBO,64,0,1,-186.0
QUBO,64,0,1,-190.0
QUBO,64,0,1,-180.0
QUBO,64,0,1,-166.0
QUBO,64,0,1,-182.0
QUBO,64,0,1,-172.0
QUBO,64,0,1,-156.0
QUBO,64,0,1,-172.0
QUBO,64,0,1,-158.0
QUBO,64,0,1,-185.0
QUBO,64,0,1,-159.0
QUBO,64,0,1,-181.0
QUBO,64,0,1,-183.0
QUBO,64,0,1,-181.0
QUBO,64,0,1,-179.0
QUBO,64,0,1,-183.0
QUBO,64,0,1,-193.0
QUBO,64,0,1,-195.0
QUBO,64,0,1,-177.0
QUBO,64,0,1,-219.0
QUBO,64,0,1,-179.0
QUBO,64,0,1,-219.0
QUBO,64,0,1,-179.0
QUBO,64,0,1,-189.0
QUBO,64,0,1,-199.0
QUBO,64,0,1,-191.0
QUBO,64,0,1,-191.0
QUBO,64,0,1,-191.0
QUBO,64,0,1,-203.0
QUBO,64,0,1,-179.0
QUBO,64,0,1,-199.0
QUBO,64,0,1,-205.0
QUBO,64,0,1,-175.0
QUBO,64,0,1,-191.0
QUBO,64,0,1,-191.0
QUBO,64,0,1,-185.0
QUBO,64,0,1,-205.0
QUBO,64,0,1,-187.0
QUBO,64,0,1,-201.0
QUBO,64,0,2,-212.0
QUBO,64,0,2,-194.0
QUBO,64,0,2,-180.0
QUBO,64,0,2,-210.0
QUBO,64,0,2,-200.0
QUBO,64,0,2,-180.0
QUBO,64,0,2,-200.0
QUBO,64,0,2,-206.0
QUBO,64,0,2,-188.0
QUBO,64,0,2,-210.0
QUBO,64,0,2,-197.0
QUBO,64,0,2,-197.0
QUBO,64,0,2,-213.0
QUBO,64,0,2,-203.0
QUBO,64,0,2,-203.0
QUBO,64,0,2,-193.0
QUBO,64,0,2,-207.0
QUBO,64,0,2,-207.0
QUBO,64,0,2,-193.0
QUBO,64,0,2,-209.0
QUBO,64,0,2,-205.0
QUBO,64,0,2,-181.0
QUBO,64,0,2,-199.0
QUBO,64,0,2,-189.0
QUBO,64,0,2,-197.0
QUBO,64,0,2,-187.0
QUBO,64,0,2,-199.0
QUBO,64,0,2,-179.0
QUBO,64,0,2,-161.0
QUBO,64,0,2,-199.0
QUBO,64,0,2,-195.0
QUBO,64,0,2,-195.0
QUBO,64,0,2,-207.0
QUBO,64,0,2,-207.0
QUBO,64,0,2,-193.0
QUBO,64,0,2,-189.0
QUBO,64,0,2,-199.0
QUBO,64,0,2,-201.0
QUBO,64,0,2,-203.0
QUBO,64,0,2,-201.0
QUBO,64,0,2,-194.0
QUBO,64,0,2,-206.0
QUBO,64,0,2,-206.0
QUBO,64,0,2,-192.0
QUBO,64,0,2,-206.0
QUBO,64,0,2,-204.0
QUBO,64,0,2,-190.0
QUBO,64,0,2,-204.0
QUBO,64,0,2,-200.0
QUBO,64,0,2,-200.0
QUBO,64,0,2,-198.0
QUBO,64,0,2,-210.0
QUBO,64,0,2,-224.0
QUBO,64,0,2,-212.0
QUBO,64,0,2,-210.0
QUBO,64,0,2,-198.0
QUBO,64,0,2,-188.0
QUBO,64,0,2,-216.0
QUBO,64,0,2,-198.0
QUBO,64,0,2,-186.0
QUBO,64,0,2,-182.0
QUBO,64,0,2,-180.0
QUBO,64,0,2,-176.0
QUBO,64,0,2,-194.0
QUBO,64,0,2,-160.0
QUBO,64,0,2,-176.0
QUBO,64,0,2,-184.0
QUBO,64,0,2,-190.0
QUBO,64,0,2,-164.0
QUBO,64,0,2,-174.0
QUBO,64,0,2,-181.0
QUBO,64,0,2,-187.0
QUBO,64,0,2,-203.0
QUBO,64,0,2,-205.0
QUBO,64,0,2,-181.0
QUBO,64,0,2,-187.0
QUBO,64,0,2,-189.0
QUBO,64,0,2,-187.0
QUBO,64,0,2,-185.0
QUBO,64,0,2,-183.0
QUBO,64,0,2,-215.0
QUBO,64,0,2,-207.0
QUBO,64,0,2,-219.0
QUBO,64,0,2,-209.0
QUBO,64,0,2,-211.0
QUBO,64,0,2,-187.0
QUBO,64,0,2,-221.0
QUBO,64,0,2,-221.0
QUBO,64,0,2,-205.0
QUBO,64,0,2,-205.0
QUBO,64,0,2,-199.0
QUBO,64,0,2,-191.0
QUBO,64,0,2,-189.0
QUBO,64,0,2,-187.0
QUBO,64,0,2,-201.0
QUBO,64,0,2,-199.0
QUBO,64,0,2,-205.0
QUBO,64,0,2,-201.0
QUBO,64,0,2,-205.0
QUBO,64,0,2,-195.0
QUBO,64,0,4,-206.0
QUBO,64,0,4,-202.0
QUBO,64,0,4,-220.0
QUBO,64,0,4,-196.0
QUBO,64,0,4,-200.0
QUBO,64,0,4,-200.0
QUBO,64,0,4,-200.0
QUBO,64,0,4,-208.0
QUBO,64,0,4,-202.0
QUBO,64,0,4,-204.0
QUBO,64,0,4,-189.0
QUBO,64,0,4,-213.0
QUBO,64,0,4,-211.0
QUBO,64,0,4,-215.0
QUBO,64,0,4,-201.0
QUBO,64,0,4,-209.0
QUBO,64,0,4,-205.0
QUBO,64,0,4,-215.0
QUBO,64,0,4,-213.0
QUBO,64,0,4,-189.0
QUBO,64,0,4,-209.0
QUBO,64,0,4,-197.0
QUBO,64,0,4,-167.0
