instance,restart,runtime,score,filename
0,0,50000.0,516.0,results_nevergrad_OptimisticDiscreteOnePlusOne_QUBO_128_5_budget_50000_2026-03-10_06-52-06_i_0_r_0.txt
0,1,50000.0,556.0,results_nevergrad_OptimisticDiscreteOnePlusOne_QUBO_128_5_budget_50000_2026-03-10_06-52-06_i_0_r_1.txt
0,2,50000.0,560.0,results_nevergrad_OptimisticDiscreteOnePlusOne_QUBO_128_5_budget_50000_2026-03-10_06-52-06_i_0_r_2.txt
0,3,50000.0,482.0,results_nevergrad_OptimisticDiscreteOnePlusOne_QUBO_128_5_budget_50000_2026-03-10_06-52-06_i_0_r_3.txt
0,4,50000.0,428.0,results_nevergrad_OptimisticDiscreteOnePlusOne_QUBO_128_5_budget_50000_2026-03-10_06-52-06_i_0_r_4.txt
0,5,50000.0,534.0,results_nevergrad_OptimisticDiscreteOnePlusOne_QUBO_128_5_budget_50000_2026-03-10_06-52-06_i_0_r_5.txt
0,6,50000.0,466.0,results_nevergrad_OptimisticDiscreteOnePlusOne_QUBO_128_5_budget_50000_2026-03-10_06-52-10_i_0_r_6.txt
0,7,50000.0,474.0,results_nevergrad_OptimisticDiscreteOnePlusOne_QUBO_128_5_budget_50000_2026-03-10_06-52-10_i_0_r_7.txt
0,8,50000.0,458.0,results_nevergrad_OptimisticDiscreteOnePlusOne_QUBO_128_5_budget_50000_2026-03-10_06-52-46_i_0_r_8.txt
0,9,50000.0,634.0,results_nevergrad_OptimisticDiscreteOnePlusOne_QUBO_128_5_budget_50000_2026-03-10_06-52-46_i_0_r_9.txt
1,0,50000.0,577.0,results_nevergrad_OptimisticDiscreteOnePlusOne_QUBO_128_5_budget_50000_2026-03-10_06-52-06_i_1_r_0.txt
1,1,50000.0,549.0,results_nevergrad_OptimisticDiscreteOnePlusOne_QUBO_128_5_budget_50000_2026-03-10_06-52-06_i_1_r_1.txt
1,2,50000.0,509.0,results_nevergrad_OptimisticDiscreteOnePlusOne_QUBO_128_5_budget_50000_2026-03-10_06-52-06_i_1_r_2.txt
1,3,50000.0,491.0,results_nevergrad_OptimisticDiscreteOnePlusOne_QUBO_128_5_budget_50000_2026-03-10_06-52-06_i_1_r_3.txt
1,4,50000.0,497.0,results_nevergrad_OptimisticDiscreteOnePlusOne_QUBO_128_5_budget_50000_2026-03-10_06-52-06_i_1_r_4.txt
1,5,50000.0,423.0,results_nevergrad_OptimisticDiscreteOnePlusOne_QUBO_128_5_budget_50000_2026-03-10_06-52-06_i_1_r_5.txt
1,6,50000.0,475.0,results_nevergrad_OptimisticDiscreteOnePlusOne_QUBO_128_5_budget_50000_2026-03-10_06-52-10_i_1_r_6.txt
1,7,50000.0,443.0,results_nevergrad_OptimisticDiscreteOnePlusOne_QUBO_128_5_budget_50000_2026-03-10_06-52-10_i_1_r_7.txt
1,8,50000.0,605.0,results_nevergrad_OptimisticDiscreteOnePlusOne_QUBO_128_5_budget_50000_2026-03-10_06-52-46_i_1_r_8.txt
1,9,50000.0,507.0,results_nevergrad_OptimisticDiscreteOnePlusOne_QUBO_128_5_budget_50000_2026-03-10_06-52-46_i_1_r_9.txt
2,0,50000.0,540.0,results_nevergrad_OptimisticDiscreteOnePlusOne_QUBO_128_5_budget_50000_2026-03-10_06-52-06_i_2_r_0.txt
2,1,50000.0,386.0,results_nevergrad_OptimisticDiscreteOnePlusOne_QUBO_128_5_budget_50000_2026-03-10_06-52-06_i_2_r_1.txt
2,2,50000.0,620.0,results_nevergrad_OptimisticDiscreteOnePlusOne_QUBO_128_5_budget_50000_2026-03-10_06-52-06_i_2_r_2.txt
2,3,50000.0,422.0,results_nevergrad_OptimisticDiscreteOnePlusOne_QUBO_128_5_budget_50000_2026-03-10_06-52-06_i_2_r_3.txt
2,4,50000.0,454.0,results_nevergrad_OptimisticDiscreteOnePlusOne_QUBO_128_5_budget_50000_2026-03-10_06-52-06_i_2_r_4.txt
2,5,50000.0,492.0,results_nevergrad_OptimisticDiscreteOnePlusOne_QUBO_128_5_budget_50000_2026-03-10_06-52-06_i_2_r_5.txt
2,6,50000.0,614.0,results_nevergrad_OptimisticDiscreteOnePlusOne_QUBO_128_5_budget_50000_2026-03-10_06-52-10_i_2_r_6.txt
2,7,50000.0,490.0,results_nevergrad_OptimisticDiscreteOnePlusOne_QUBO_128_5_budget_50000_2026-03-10_06-52-10_i_2_r_7.txt
2,8,50000.0,492.0,results_nevergrad_OptimisticDiscreteOnePlusOne_QUBO_128_5_budget_50000_2026-03-10_06-52-46_i_2_r_8.txt
2,9,50000.0,478.0,results_nevergrad_OptimisticDiscreteOnePlusOne_QUBO_128_5_budget_50000_2026-03-10_06-52-46_i_2_r_9.txt
3,0,50000.0,601.0,results_nevergrad_OptimisticDiscreteOnePlusOne_QUBO_128_5_budget_50000_2026-03-10_06-52-06_i_3_r_0.txt
3,1,50000.0,599.0,results_nevergrad_OptimisticDiscreteOnePlusOne_QUBO_128_5_budget_50000_2026-03-10_06-52-06_i_3_r_1.txt
3,2,50000.0,543.0,results_nevergrad_OptimisticDiscreteOnePlusOne_QUBO_128_5_budget_50000_2026-03-10_06-52-06_i_3_r_2.txt
3,3,50000.0,475.0,results_nevergrad_OptimisticDiscreteOnePlusOne_QUBO_128_5_budget_50000_2026-03-10_06-52-06_i_3_r_3.txt
3,4,50000.0,435.0,results_nevergrad_OptimisticDiscreteOnePlusOne_QUBO_128_5_budget_50000_2026-03-10_06-52-06_i_3_r_4.txt
3,5,50000.0,507.0,results_nevergrad_OptimisticDiscreteOnePlusOne_QUBO_128_5_budget_50000_2026-03-10_06-52-06_i_3_r_5.txt
3,6,50000.0,589.0,results_nevergrad_OptimisticDiscreteOnePlusOne_QUBO_128_5_budget_50000_2026-03-10_06-52-10_i_3_r_6.txt
3,7,50000.0,549.0,results_nevergrad_OptimisticDiscreteOnePlusOne_QUBO_128_5_budget_50000_2026-03-10_06-52-10_i_3_r_7.txt
3,8,50000.0,525.0,results_nevergrad_OptimisticDiscreteOnePlusOne_QUBO_128_5_budget_50000_2026-03-10_06-52-46_i_3_r_8.txt
3,9,50000.0,561.0,results_nevergrad_OptimisticDiscreteOnePlusOne_QUBO_128_5_budget_50000_2026-03-10_06-52-46_i_3_r_9.txt
4,0,50000.0,563.0,results_nevergrad_OptimisticDiscreteOnePlusOne_QUBO_128_5_budget_50000_2026-03-10_06-52-06_i_4_r_0.txt
4,1,50000.0,513.0,results_nevergrad_OptimisticDiscreteOnePlusOne_QUBO_128_5_budget_50000_2026-03-10_06-52-06_i_4_r_1.txt
4,2,50000.0,503.0,results_nevergrad_OptimisticDiscreteOnePlusOne_QUBO_128_5_budget_50000_2026-03-10_06-52-06_i_4_r_2.txt
4,3,50000.0,517.0,results_nevergrad_OptimisticDiscreteOnePlusOne_QUBO_128_5_budget_50000_2026-03-10_06-52-06_i_4_r_3.txt
4,4,50000.0,675.0,results_nevergrad_OptimisticDiscreteOnePlusOne_QUBO_128_5_budget_50000_2026-03-10_06-52-06_i_4_r_4.txt
4,5,50000.0,755.0,results_nevergrad_OptimisticDiscreteOnePlusOne_QUBO_128_5_budget_50000_2026-03-10_06-52-06_i_4_r_5.txt
4,6,50000.0,547.0,results_nevergrad_OptimisticDiscreteOnePlusOne_QUBO_128_5_budget_50000_2026-03-10_06-52-10_i_4_r_6.txt
4,7,50000.0,507.0,results_nevergrad_OptimisticDiscreteOnePlusOne_QUBO_128_5_budget_50000_2026-03-10_06-52-10_i_4_r_7.txt
4,8,50000.0,527.0,results_nevergrad_OptimisticDiscreteOnePlusOne_QUBO_128_5_budget_50000_2026-03-10_06-52-46_i_4_r_8.txt
4,9,50000.0,637.0,results_nevergrad_OptimisticDiscreteOnePlusOne_QUBO_128_5_budget_50000_2026-03-10_06-52-46_i_4_r_9.txt
5,0,50000.0,550.0,results_nevergrad_OptimisticDiscreteOnePlusOne_QUBO_128_5_budget_50000_2026-03-10_06-52-06_i_5_r_0.txt
5,1,50000.0,478.0,results_nevergrad_OptimisticDiscreteOnePlusOne_QUBO_128_5_budget_50000_2026-03-10_06-52-06_i_5_r_1.txt
